Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2026-02-19 11:34:44,2,1,Sam,01 Orlando Impas,0,0,0,0,0,0,0,0,0,0,0,13.88559,8.591121,-10.908814,0.5425532,0.5553854,0.837386,0.4772843
2026-02-19 11:34:47,2,1,01 Orlando Impas,JHL  ,0,0,0,0,0,0,0,0,0,0,1,14.167365,14.037772,-1.9118545,0.837386,0.4772843,0.88905776,0.3496682
2026-02-19 11:34:51,2,1,JHL  ,01 Orlando Impas,0,0,0,0,0,0,0,0,0,1,1,8.627114,8.591121,0.78723615,0.88905776,0.3496682,0.8677811,0.2715671
2026-02-19 11:34:57,2,1,01 Orlando Impas,JHL  ,0,0,0,0,0,0,0,0,1,1,1,10.281197,-10.219502,-1.1246206,0.8677811,0.2715671,0.89817625,0.36447167
2026-02-19 11:35:00,2,1,JHL  ,Sam,0,0,0,0,0,0,0,1,0,1,0,13.432162,-2.0775878,13.270516,0.89817625,0.36447167,0.53951365,0.38335884
2026-02-19 11:35:07,2,1,Sam,01 Orlando Impas,1,1,0,0,0,0,0,0,0,0,0,18.832317,14.150075,12.42705,0.53951365,0.38335884,0.20364742,0.2547218
2026-02-19 11:35:19,2,2,Sam,Finn,0,0,0,0,0,0,0,0,0,0,0,22.911757,8.374589,-21.32639,0.1875,0.38626808,0.7638889,0.31013545
2026-02-19 11:35:22,2,2,Finn,01 Orlando Impas,0,0,0,0,0,1,0,0,0,0,1,8.892657,8.22046,-3.3916657,0.7638889,0.31013545,0.85555553,0.235404
2026-02-19 11:35:26,2,2,01 Orlando Impas,21 James Fish,0,0,0,1,1,0,0,0,0,1,1,8.922641,8.836991,-1.2333343,0.85555553,0.235404,0.8888889,0.15506771
2026-02-19 11:36:38,4,1,Sam,01 Orlando Impas,1,1,0,1,0,0,1,0,0,0,0,53.671474,53.231243,6.860182,0.51215804,0.6375702,0.32674772,0.1536498
2026-02-19 11:37:12,4,2,Finn,01 Orlando Impas,0,0,0,0,0,0,0,0,0,0,1,8.814577,8.254208,3.0927043,0.17933126,0.79173046,0.095744655,0.7166922
2026-02-19 11:37:15,4,2,01 Orlando Impas,JHL  ,0,0,0,0,0,0,0,0,0,1,1,15.314453,15.273104,1.1246208,0.095744655,0.7166922,0.0653495,0.5778458
2026-02-19 11:37:19,4,2,JHL  ,21 James Fish,0,0,0,0,0,0,0,0,0,1,1,11.92009,11.904031,-0.618542,0.0653495,0.5778458,0.08206685,0.46962735
2026-02-19 11:37:23,4,2,21 James Fish,Jed,0,0,0,0,0,0,0,0,0,1,0,25.074673,22.9658,-10.065351,0.08206685,0.46962735,0.35410336,0.26084736
2026-02-19 11:37:30,4,2,Jed,21 James Fish,0,0,0,0,0,1,0,1,0,0,0,12.517266,1.9091363,-12.370818,0.35410336,0.26084736,0.6884498,0.24349158
2026-02-19 11:37:34,4,2,21 James Fish,Finn,0,0,0,1,1,0,0,0,0,0,0,18.56699,18.361408,-2.7553189,0.6884498,0.24349158,0.7629179,0.07656968
2026-02-19 11:38:22,6,1,Sam,01 Orlando Impas,0,0,0,0,0,0,0,0,0,0,1,21.296932,15.048494,15.069908,0.52127653,0.62378764,0.11398174,0.48698315
2026-02-19 11:38:27,6,1,01 Orlando Impas,Jed,1,1,0,0,0,0,0,0,0,1,0,24.02868,22.741192,-7.759878,0.11398174,0.48698315,0.32370818,0.28024504
2026-02-19 11:39:24,6,2,Sam,JHL  ,0,0,0,0,0,0,0,1,0,0,0,15.240258,0.2246064,-15.238603,0.26899692,0.7876468,0.68085104,0.7856049
2026-02-19 11:39:30,6,2,JHL  ,Jonas,0,0,0,0,0,0,0,0,0,0,1,20.274324,18.866766,-7.422492,0.68085104,0.7856049,0.88145894,0.61408883
2026-02-19 11:39:44,6,2,Jonas,Aiden jacobs,0,0,0,0,0,0,0,0,0,1,0,28.84984,28.412457,5.0045576,0.88145894,0.61408883,0.7462006,0.35579377
2026-02-19 11:39:54,6,2,Aiden jacobs,21 James Fish,0,0,0,0,0,1,0,0,0,0,1,8.237329,0.6738126,-8.209723,0.7462006,0.35579377,0.96808505,0.3496682
2026-02-19 11:39:57,6,2,21 James Fish,Aiden jacobs,0,0,0,1,1,0,0,0,0,1,1,23.251816,23.021952,3.2613964,0.96808505,0.3496682,0.8799392,0.14037773
2026-02-19 11:40:47,7,1,04 Charlie Wagner,Aiden jacobs,0,0,0,0,0,0,0,0,1,0,0,7.8511996,-3.818276,-6.860183,0.29787236,0.8029607,0.48328272,0.8376723
2026-02-19 11:40:50,7,1,Aiden jacobs,04 Charlie Wagner,0,0,0,0,0,0,0,0,0,0,0,9.252621,4.2674823,-8.209725,0.48328272,0.8376723,0.7051672,0.798877
2026-02-19 11:40:53,7,1,04 Charlie Wagner,Aiden jacobs,1,1,0,0,0,0,0,0,0,0,0,6.814696,4.435939,5.173251,0.7051672,0.798877,0.5653496,0.7585503
2026-02-19 11:41:15,7,2,04 Charlie Wagner,Levi,0,0,0,0,0,0,0,0,0,1,1,18.095425,18.080654,0.7310036,0.9240122,0.75497705,0.90425533,0.59060746
2026-02-19 11:41:19,7,2,Levi,04 Charlie Wagner,0,0,0,0,0,0,0,1,0,1,0,12.77815,-3.2006133,12.370819,0.90425533,0.59060746,0.56990886,0.61970395
2026-02-19 11:41:21,7,2,04 Charlie Wagner,Aiden jacobs,0,0,0,0,0,0,0,1,0,0,0,14.672159,-1.2353253,14.620062,0.56990886,0.61970395,0.17477205,0.6309342
2026-02-19 11:41:27,7,2,Aiden jacobs,Miles ,0,0,0,0,0,0,0,0,0,0,1,12.999955,12.858603,1.9118531,0.17477205,0.6309342,0.12310035,0.5140378
