Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2026-02-18 21:56:51,1,1,Sam,04 Charlie Wagner,0,0,0,0,0,0,0,1,0,0,0,12.450211,-1.4037752,-12.370819,0.1504559,0.7023992,0.4848024,0.7151608
2026-02-18 21:57:01,1,1,04 Charlie Wagner,01 Orlando Impas,0,0,0,0,0,0,0,1,0,0,1,17.200909,5.95202,-16.1383,0.4848024,0.7151608,0.92097265,0.6610515
2026-02-18 21:57:15,1,1,01 Orlando Impas,Sam,0,0,0,0,0,0,0,0,0,1,1,13.075506,13.027053,-1.1246206,0.92097265,0.6610515,0.9513678,0.54262376
2026-02-18 21:58:06,1,1,Sam,04 Charlie Wagner,0,0,0,0,0,0,0,1,0,1,0,18.199167,-4.3282022,17.677,0.9513678,0.54262376,0.47361106,0.58197105
2026-02-18 21:58:14,1,1,04 Charlie Wagner,Sam,0,0,0,0,0,0,0,0,1,0,0,9.024613,-2.0551121,-8.7875,0.47361106,0.58197105,0.71111107,0.6006539
2026-02-18 21:58:17,1,1,Sam,21 James Fish,0,0,0,0,0,0,0,1,0,0,0,18.460718,5.9598293,17.472221,0.71111107,0.6006539,0.23888887,0.5464736
2026-02-18 21:58:22,1,1,21 James Fish,Levi,1,1,0,0,0,0,0,0,0,0,0,10.458154,10.429708,-0.77083313,0.23888887,0.5464736,0.2597222,0.4516581
2026-02-18 21:58:47,1,2,04 Charlie Wagner,Sam,0,0,0,0,0,0,0,0,1,0,0,7.4591727,-4.9836497,-5.549999,0.45277774,0.65670246,0.6027777,0.70200837
2026-02-18 21:58:49,1,2,Sam,04 Charlie Wagner,0,0,0,0,0,0,0,0,0,0,0,11.705113,8.014941,-8.530557,0.6027777,0.70200837,0.8333333,0.62914526
2026-02-18 21:59:03,1,2,04 Charlie Wagner,JHL  ,0,0,0,0,0,0,0,0,1,0,0,26.439152,-8.374592,25.077778,0.8333333,0.62914526,0.15555553,0.7052779
2026-02-18 21:59:10,1,2,JHL  ,21 James Fish,0,0,0,0,0,0,0,0,0,0,0,14.774434,14.745449,-0.9250002,0.15555553,0.7052779,0.18055554,0.5712284
2026-02-18 21:59:14,1,2,21 James Fish,Levi,0,0,0,0,0,0,0,0,0,0,0,12.453942,12.382063,-1.3361119,0.18055554,0.5712284,0.21666667,0.45866418
2026-02-18 21:59:17,1,2,Levi,Sam,0,0,0,0,0,1,0,0,0,0,0,10.997177,9.402148,-5.704167,0.21666667,0.45866418,0.37083334,0.3731901
2026-02-18 21:59:19,1,2,Sam,Uri,0,0,0,1,1,0,0,0,0,0,1,29.488049,22.452127,-19.116667,0.37083334,0.3731901,0.8875,0.16907986
2026-02-18 22:03:31,3,1,Jonas,Sam,0,0,0,0,0,0,0,1,0,0,0,11.811849,-0.28075635,-11.808511,0.28115502,0.67279226,0.60030395,0.6753446
2026-02-18 22:03:34,3,1,Sam,01 Orlando Impas,1,0,1,0,0,0,0,0,0,0,1,13.04941,7.4119453,-10.740119,0.60030395,0.6753446,0.89057744,0.60796326
2026-02-18 22:04:52,3,2,Sam,01 Orlando Impas,0,0,0,0,0,0,0,1,0,1,0,16.287176,-3.2006133,-15.969603,0.09878419,0.6488004,0.5303951,0.67789686
2026-02-18 22:05:01,3,2,01 Orlando Impas,Sam,0,0,0,0,0,0,0,0,1,0,0,9.872572,-5.222051,8.378417,0.5303951,0.67789686,0.30395138,0.72537005
2026-02-18 22:05:06,3,2,Sam,01 Orlando Impas,0,0,0,0,0,0,0,0,0,0,1,6.846752,3.3690631,5.960489,0.30395138,0.72537005,0.14285709,0.6947422
2026-02-18 22:05:09,3,2,01 Orlando Impas,21 James Fish,0,0,0,0,0,0,0,0,0,1,1,7.8611517,7.8611517,0.0,0.14285709,0.6947422,0.14285709,0.6232772
2026-02-18 22:05:15,3,2,21 James Fish,Jed,1,1,0,0,0,0,1,0,0,1,1,41.614388,41.607967,0.7310019,0.14285709,0.6232772,0.12310028,0.24502297
2026-02-18 22:06:21,3,3,Sam,01 Orlando Impas,0,0,0,0,0,1,0,0,0,1,0,17.549772,17.462988,-1.7431606,0.12765954,0.5982644,0.174772,0.43950996
2026-02-18 22:06:24,3,3,01 Orlando Impas,Finn,0,0,0,1,1,0,0,0,0,0,0,39.910545,31.837673,-24.06687,0.174772,0.43950996,0.8252279,0.15007657
2026-02-18 22:09:54,5,1,Jonas,01 Orlando Impas,0,0,0,0,0,0,0,0,0,0,0,8.843518,7.1385193,5.220091,0.489842,0.62049335,0.34875846,0.5555977
2026-02-18 22:10:01,5,1,01 Orlando Impas,Jonas,0,0,0,0,0,0,0,0,1,0,0,5.7472706,-3.7153716,-4.384876,0.34875846,0.5555977,0.46726862,0.5893738
2026-02-18 22:10:04,5,1,Jonas,01 Orlando Impas,0,0,0,0,0,0,0,1,0,0,0,13.665545,4.842508,-12.778781,0.46726862,0.5893738,0.8126411,0.545351
2026-02-18 22:10:08,5,1,01 Orlando Impas,Sam,0,0,0,0,0,0,0,0,0,0,0,10.345878,4.67552,9.229122,0.8126411,0.545351,0.56320536,0.5028463
2026-02-18 22:10:11,5,1,Sam,Jonas,0,0,0,0,0,0,0,1,0,0,0,13.619766,-2.6299806,13.363429,0.56320536,0.5028463,0.2020316,0.5267552
2026-02-18 22:10:16,5,1,Jonas,JHL  ,0,0,0,0,0,0,0,0,0,0,1,8.418749,7.055029,4.59368,0.2020316,0.5267552,0.07787809,0.4626186
2026-02-18 22:10:19,5,1,JHL  ,Sam,0,0,0,0,0,0,0,0,1,1,1,6.6090307,-6.595824,0.41760674,0.07787809,0.4626186,0.06659142,0.5225806
2026-02-18 22:10:23,5,1,Sam,Finn,0,0,0,0,0,0,0,0,0,1,0,12.787162,11.981024,-4.468396,0.06659142,0.5225806,0.18735889,0.41366223
2026-02-18 22:11:06,5,1,Finn,01 Orlando Impas,0,0,0,0,0,0,0,0,0,0,0,12.597327,12.486,-1.6710638,0.18735889,0.41366223,0.23252277,0.30015314
2026-02-18 22:11:07,5,1,01 Orlando Impas,Sam,1,1,0,0,0,0,0,1,0,0,0,15.195487,-2.976007,-14.901215,0.23252277,0.30015314,0.6352583,0.32720774
2026-02-18 22:11:37,5,2,Sam,01 Orlando Impas,0,0,0,0,0,0,0,0,0,1,0,10.940631,10.331802,3.5987854,0.9468085,0.6702399,0.84954405,0.57631445
