Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Levi,13,"2,3,5,6,8,9,10,12,13,15,16,17,18",6,7,3,5,16,7,15,16,0,1,1,1,0,0,0,3,0,0,206.83,101.47,13.79,6.76,249.75,174.74,15.61,10.92
Sam,12,"1,3,5,7,8,9,11,13,14,15,17,18",7,5,5,2,33,11,33,28,5,0,2,0,3,2,1,0,0,0,425.66,104.95,14.19,3.50,310.79,24.43,11.10,0.87
04 Charlie Wagner,12,"2,4,6,8,9,10,12,13,14,16,17,18",5,7,2,5,50,11,49,36,14,3,3,1,2,2,0,0,0,0,687.37,268.96,14.62,5.72,385.65,16.73,10.71,0.46
JHL  ,11,"1,4,5,7,8,9,11,13,14,16,18",7,4,4,2,21,9,21,19,2,2,0,0,1,1,0,0,0,0,257.29,61.49,12.86,3.07,237.61,60.87,12.51,3.20
21 James Fish,10,"1,4,5,8,9,11,15,16,17,18",9,1,5,1,14,7,13,14,0,1,1,1,2,2,0,0,0,0,128.29,53.74,11.66,4.89,182.17,68.06,13.01,4.86
01 Orlando Impas,10,"1,4,5,8,9,11,15,16,17,18",9,1,5,1,19,8,16,18,1,0,0,3,1,1,0,1,0,0,185.58,63.45,13.26,4.53,276.55,137.85,15.36,7.66
Uri,8,"2,5,6,7,9,13,14,17",3,5,3,3,7,5,7,7,0,1,0,0,1,1,0,0,0,0,110.01,55.25,18.34,9.21,100.37,59.52,14.34,8.50
Jonas,7,"1,4,5,8,11,16,17",7,0,4,0,12,7,11,9,3,1,1,1,2,1,1,0,0,0,127.46,64.41,12.75,6.44,145.26,58.45,16.14,6.49
Aiden jacobs,7,"2,6,7,10,12,13,18",0,7,0,5,10,3,10,10,0,0,1,0,1,1,0,1,0,0,85.62,14.43,9.51,1.60,145.52,2.47,14.55,0.25
Joe,6,"2,3,6,10,12,14",0,6,0,3,6,4,5,6,0,0,0,1,1,1,0,0,0,0,38.56,4.89,12.85,1.63,126.73,62.78,21.12,10.46
Jed,5,"1,4,11,15,16",5,0,2,0,3,2,2,3,0,1,0,1,1,0,1,0,0,0,48.76,34.53,24.38,17.27,48.56,40.71,16.19,13.57
Elliot,5,"2,6,7,12,13",0,5,0,4,2,2,2,2,0,0,1,0,0,0,0,0,0,0,14.63,-13.36,7.32,-6.68,28.83,14.60,14.42,7.30
Kahlil,4,"2,3,10,14",0,4,0,1,2,2,2,2,0,0,0,0,1,1,0,0,0,0,6.51,6.51,6.51,6.51,28.52,27.51,14.26,13.76
Finn,4,"1,4,11,15",4,0,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,20.57,-15.22,10.29,-7.61,49.80,16.96,24.90,8.48
Henry,4,"3,7,12,14",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zach,4,"3,7,10,15",1,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,10.12,10.11,10.12,10.11,0.00,0.00,0.00,0.00
Miles ,2,"10,12",0,2,0,1,2,1,1,2,0,0,0,1,0,0,0,0,0,0,7.23,-6.51,7.23,-6.51,46.03,45.48,23.01,22.74
Aidan McP,1,6,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,13.23,5.11,13.23,5.11,11.59,3.03,11.59,3.03
Vincent,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
