Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Sam,13,"1,3,5,7,8,10,12,13,15,17,19,20,21",9,4,8,4,30,13,29,27,3,5,2,1,2,2,0,0,0,0,417.81,268.30,15.47,9.94,302.51,82.37,11.20,3.05
04 Charlie Wagner,12,"1,2,4,6,8,9,11,12,14,16,18,20",1,11,1,4,13,5,12,9,4,2,0,1,0,0,0,0,0,0,186.41,122.44,15.53,10.20,121.82,10.12,13.54,1.12
Levi,11,"1,2,4,6,8,9,11,12,16,18,20",1,10,1,4,5,4,3,5,0,1,0,2,0,0,0,1,0,0,61.49,37.72,20.50,12.57,93.57,78.06,18.71,15.61
Aiden jacobs,11,"1,2,4,6,9,11,12,14,16,20,21",0,11,0,5,8,3,7,6,2,0,1,1,0,0,0,2,0,0,83.65,33.42,11.95,4.77,94.39,41.47,15.73,6.91
JHL  ,11,"3,5,7,8,10,13,14,15,17,19,21",9,2,8,1,9,6,9,8,1,1,1,0,1,1,0,0,0,0,99.60,28.41,12.45,3.55,93.10,64.07,11.64,8.01
21 James Fish,10,"1,3,5,7,8,10,13,15,17,19",9,1,8,1,10,6,9,10,0,1,0,1,1,1,0,0,0,0,92.37,76.98,11.55,9.62,129.13,97.42,12.91,9.74
01 Orlando Impas,10,"1,3,5,7,8,10,13,15,17,19",9,1,8,1,17,8,14,16,1,2,3,3,0,0,0,0,0,0,143.76,66.47,10.27,4.75,203.93,145.86,12.75,9.12
Jonas,9,"3,5,7,8,10,13,15,17,19",9,0,8,0,16,9,15,10,6,1,1,1,0,0,0,0,0,0,180.46,100.34,12.03,6.69,117.25,76.48,11.73,7.65
Finn,8,"3,5,7,10,13,15,17,19",8,0,7,0,3,2,2,3,0,0,1,1,0,0,0,0,0,0,14.11,10.78,7.06,5.39,41.21,37.12,13.74,12.37
Jed,8,"3,5,7,10,13,15,17,19",8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joe,8,"1,2,4,9,11,16,18,20",0,8,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,16.84,3.03,8.42,1.52,25.38,18.75,12.69,9.38
Elliot,7,"2,6,9,11,14,18,21",0,7,0,2,2,2,1,2,0,0,0,1,1,1,0,0,0,0,0.00,0.00,0.00,0.00,32.75,31.29,16.37,15.64
Kahlil,7,"2,4,9,11,12,14,21",0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uri,5,"6,9,14,18,20",0,5,0,1,2,1,2,2,0,0,1,0,0,0,0,0,0,0,22.43,18.64,11.21,9.32,35.37,20.78,17.69,10.39
Henry,4,"11,12,16,20",0,4,0,3,2,1,1,2,0,0,0,1,0,0,0,0,0,0,12.06,-11.96,12.06,-11.96,51.13,46.89,25.56,23.44
Miles ,4,"2,16,18,21",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aidan McP,3,"4,6,18",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zach,3,"4,12,16",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vincent,2,"6,21",0,2,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,10.56,-3.90,10.56,-3.90,0.00,0.00,0.00,0.00
Daniel,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
