Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Levi,17,"1,2,4,6,8,10,12,14,15,17,19,20,21,22,23,24,25",5,12,4,2,5,3,4,5,0,0,0,1,0,0,0,0,0,0,51.24,27.35,12.81,6.84,89.73,36.84,17.95,7.37
JHL  ,17,"1,3,5,7,9,11,13,14,16,18,19,20,21,22,23,24,25",13,4,11,2,27,11,25,24,3,0,5,2,0,0,0,1,0,0,277.27,43.80,11.09,1.75,335.06,189.88,13.96,7.91
04 Charlie Wagner,17,"1,2,4,6,8,10,12,14,15,17,19,20,21,22,23,24,25",5,12,4,2,22,9,21,17,5,1,1,1,1,1,0,1,0,0,292.90,140.24,14.65,7.01,208.07,45.38,12.24,2.67
01 Orlando Impas,16,"1,3,5,7,9,11,13,14,16,18,19,20,22,23,24,25",13,3,11,1,33,12,31,28,5,2,3,2,3,3,0,0,0,0,355.19,42.43,12.69,1.52,370.01,174.23,13.21,6.22
Sam,16,"1,3,5,7,9,11,13,14,16,18,19,20,21,22,23,25",13,3,11,2,59,16,58,54,5,6,2,1,4,4,0,0,0,0,821.20,415.07,15.21,7.69,591.38,41.49,10.95,0.77
21 James Fish,15,"3,5,7,9,11,13,14,16,18,19,20,21,23,24,25",13,2,11,1,20,9,19,20,0,2,0,1,0,0,0,0,0,0,225.27,95.84,11.86,5.04,266.97,137.68,13.35,6.88
Aiden jacobs,10,"2,4,6,8,10,12,15,17,24,25",1,9,1,0,2,1,2,2,0,0,0,0,1,1,0,0,0,0,11.59,0.39,11.59,0.39,25.08,21.17,12.54,10.58
Jonas,10,"3,5,7,9,11,13,16,18,19,23",10,0,8,0,18,8,18,14,4,1,0,0,0,0,0,0,0,0,229.31,110.00,12.74,6.11,171.42,-1.80,12.24,-0.13
Joe,9,"1,4,6,10,12,15,21,22,24",0,9,0,2,2,1,1,2,0,0,1,1,0,0,0,0,0,0,15.33,8.31,15.33,8.31,45.95,18.81,22.98,9.41
Jed,9,"3,5,7,9,11,13,16,18,20",9,0,8,0,14,7,10,14,0,0,0,4,1,0,1,0,0,0,91.85,-21.67,9.18,-2.17,220.98,133.18,15.78,9.51
Finn,8,"3,5,7,9,11,13,16,18",8,0,7,0,6,4,6,6,0,1,0,0,0,0,0,0,0,0,64.67,30.83,10.78,5.14,108.60,97.14,18.10,16.19
Uri,8,"6,10,12,14,15,17,21,22",1,7,1,1,2,2,2,2,0,0,1,0,0,0,0,0,0,0,26.78,11.00,13.39,5.50,29.34,9.57,14.67,4.79
Kahlil,4,"2,6,15,17",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Henry,4,"1,6,10,17",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Elliot,3,"2,10,12",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vincent,3,"8,15,17",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miles ,3,"2,8,12",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zach,3,"2,4,8",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aidan McP,2,"4,8",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Daniel,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
