Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
04 Charlie Wagner,13,"1,3,5,7,8,9,11,13,14,16,18,20,22",1,12,1,3,21,5,21,14,7,4,0,0,3,3,0,1,0,0,319.67,192.09,17.76,10.67,148.09,43.74,10.58,3.12
Aiden jacobs,12,"3,5,6,7,8,9,11,14,16,18,20,22",1,11,1,3,9,4,8,9,0,0,2,1,1,1,0,0,0,0,71.55,16.12,10.22,2.30,137.44,59.52,15.27,6.61
01 Orlando Impas,11,"1,2,4,6,10,12,13,15,17,19,21",10,1,10,0,21,10,21,18,3,3,1,0,2,2,0,0,0,0,224.33,162.14,13.20,9.54,244.46,143.34,13.58,7.96
JHL  ,11,"1,2,4,6,10,12,13,15,17,19,21",10,1,10,0,13,8,12,11,2,0,0,1,0,0,0,1,0,0,166.38,86.75,13.86,7.23,159.55,64.51,14.50,5.86
Sam,11,"1,2,4,6,10,12,13,15,17,19,21",10,1,10,0,32,10,31,21,11,2,2,1,5,5,0,4,0,0,396.35,234.48,15.85,9.38,231.13,35.36,11.01,1.68
Levi,11,"1,3,5,7,9,11,14,16,18,20,22",0,11,0,2,4,2,3,4,0,0,0,1,1,1,0,0,0,0,21.67,4.89,10.84,2.44,70.66,67.55,17.67,16.89
21 James Fish,11,"1,2,4,6,10,12,13,15,17,19,21",10,1,10,0,10,9,8,9,1,3,0,2,3,1,2,0,0,0,113.17,94.22,16.17,13.46,117.10,87.00,13.01,9.67
Finn,10,"2,4,6,10,12,13,15,17,19,21",10,0,10,0,7,6,6,5,2,0,2,1,0,0,0,1,0,0,58.64,16.90,9.77,2.82,69.70,41.67,13.94,8.33
Uri,10,"1,3,5,8,9,11,13,14,18,22",1,9,1,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,10.59,4.44,10.59,4.44,18.72,-5.17,18.72,-5.17
Joe,10,"3,5,7,9,11,14,16,18,20,22",0,10,0,2,2,1,1,2,0,0,0,1,0,0,0,1,0,0,5.80,5.78,5.80,5.78,39.31,39.08,19.66,19.54
Jonas,9,"2,4,6,10,12,15,17,19,21",9,0,9,0,10,6,9,8,2,1,1,1,1,0,1,1,0,0,124.80,36.67,13.87,4.07,112.84,71.32,14.10,8.92
Elliot,8,"3,5,7,8,16,18,20,22",0,8,0,3,4,3,4,4,0,0,1,0,1,1,0,1,0,0,26.37,1.18,8.79,0.39,40.46,38.58,10.12,9.64
Jed,8,"2,4,10,12,15,17,19,21",8,0,8,0,7,6,4,7,0,0,1,3,0,0,0,0,0,0,37.81,-14.98,9.45,-3.75,158.94,131.09,22.71,18.73
Kahlil,6,"3,7,8,9,14,16",0,6,0,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.00,0.00,0.00,0.00,44.49,42.79,44.49,42.79
Miles ,5,"7,8,9,11,14",0,5,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7.49,7.24,7.49,7.24,13.00,12.86,13.00,12.86
Aidan McP,4,"5,8,11,20",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Henry,2,"16,18",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zach,1,22,0,1,0,1,4,1,4,2,2,0,0,0,0,0,0,1,0,0,47.65,37.68,11.91,9.42,26.36,12.35,13.18,6.18
Daniel,1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
