Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2026-02-19 09:53:54,1,0,0,1,1,1,16,0,0,0,0,0,21 James Fish,Jonas,Jed
2026-02-19 09:55:52,2,1,0,0,1,3,21,2,2,0,2,1,Elliot,04 Charlie Wagner,Joe
2026-02-19 10:00:03,3,2,0,0,0,1,3,1,1,0,0,1,,,
2026-02-19 10:02:32,4,2,1,1,0,1,8,1,1,0,0,0,,,
2026-02-19 10:04:11,5,2,2,1,1,2,9,1,1,0,0,1,Jonas,21 James Fish,01 Orlando Impas
2026-02-19 10:06:24,6,3,2,0,1,1,12,0,0,0,1,0,Aiden jacobs,Levi,04 Charlie Wagner
2026-02-19 10:08:40,7,4,2,0,0,0,0,0,0,0,0,0,,,
2026-02-19 10:09:44,8,4,3,1,0,2,12,2,2,0,0,1,,,
2026-02-19 10:13:19,9,4,4,1,1,1,23,0,0,0,0,0,04 Charlie Wagner,JHL  ,01 Orlando Impas
2026-02-19 10:16:40,10,5,4,0,0,0,0,0,0,0,0,0,,,
2026-02-19 10:17:26,11,5,5,1,1,1,6,0,0,0,0,0,Sam,Jed,Jonas
2026-02-19 10:18:17,12,6,5,0,1,2,16,1,1,0,1,1,Levi,04 Charlie Wagner,Miles 
2026-02-19 10:20:37,13,7,5,0,1,1,7,0,0,0,0,1,04 Charlie Wagner,Uri,Levi
2026-02-19 10:22:19,14,8,5,0,0,1,5,1,0,1,1,0,,,
2026-02-19 10:24:07,15,8,6,1,0,1,8,1,0,1,0,0,,,
2026-02-19 10:26:31,16,8,7,1,0,2,16,2,2,0,0,1,,,
2026-02-19 10:30:18,17,8,8,1,1,5,23,4,3,1,1,3,Sam,04 Charlie Wagner,21 James Fish
2026-02-19 10:35:19,18,9,8,0,1,1,6,0,0,0,0,1,04 Charlie Wagner,JHL  ,01 Orlando Impas
2026-02-19 10:36:28,19,10,8,0,0,0,0,0,0,0,0,0,,,
