Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2026-02-18 22:58:17,1,1,1,1,0.37993923,0.65135276,04 Charlie Wagner,12,21 James Fish,Sam,Levi,,,
2026-02-18 22:59:55,2,1,0,1,0.7158055,0.79887694,04 Charlie Wagner,12,Henry,04 Charlie Wagner,Levi,,,
2026-02-18 23:02:15,3,1,0,0,0.08054711,0.5150587,Sam,6,,,,Levi,,
2026-02-18 23:03:10,3,2,0,1,0.21111113,0.8612798,Levi,9,Levi,Sam,Joe,,,
2026-02-18 23:05:15,4,1,0,0,0.44984803,0.7973456,04 Charlie Wagner,1,,,,04 Charlie Wagner,,
2026-02-18 23:05:36,4,2,0,1,0.96960485,0.640633,04 Charlie Wagner,3,Levi,04 Charlie Wagner,Kahlil,,,
2026-02-18 23:06:45,5,1,0,0,0.9361702,0.7805003,04 Charlie Wagner,6,,,,04 Charlie Wagner,,
2026-02-18 23:08:16,6,1,1,0,0.6337386,0.7238387,Jonas,13,,,,21 James Fish,,
2026-02-18 23:10:13,7,1,1,1,0.6869301,0.705462,01 Orlando Impas,7,Levi,01 Orlando Impas,Jed,,,
2026-02-18 23:11:39,8,1,0,0,0.82826746,0.5074017,04 Charlie Wagner,2,,,,Uri,,
2026-02-18 23:12:40,9,1,1,1,0.43769002,0.62531906,Sam,13,01 Orlando Impas,21 James Fish,Jonas,,,
2026-02-18 23:15:00,11,1,1,1,0.4240122,0.7182236,JHL  ,11,Sam,01 Orlando Impas,Zach,,,
2026-02-18 23:16:58,12,1,0,1,0.91641337,0.55130166,04 Charlie Wagner,9,04 Charlie Wagner,Levi,Uri,,,
2026-02-18 23:18:14,13,1,0,0,0.22036476,0.6431853,Sam,1,,,,Sam,,
2026-02-18 23:19:20,14,1,1,1,0.7386018,0.6763655,JHL  ,19,Sam,21 James Fish,01 Orlando Impas,,,
2026-02-18 23:21:35,15,1,0,1,0.59422493,0.23072997,04 Charlie Wagner,1,,04 Charlie Wagner,Levi,,,
2026-02-18 23:22:26,16,1,0,1,0.550152,0.49157733,04 Charlie Wagner,4,04 Charlie Wagner,Joe,Elliot,,,
2026-02-18 23:24:11,18,1,1,1,0.78723407,0.6559469,JHL  ,9,Sam,JHL  ,01 Orlando Impas,,,
2026-02-18 23:26:06,20,1,1,1,0.23100305,0.65492594,Jonas,4,Finn,Jonas,Finn,,,
