Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2026-02-19 11:34:43,2,1,1,0,0.5425532,0.5553854,Sam,6,,,,Sam,,
2026-02-19 11:35:17,2,2,1,1,0.1875,0.38626808,Sam,3,Finn,01 Orlando Impas,21 James Fish,,,
2026-02-19 11:36:27,4,1,1,0,0.51215804,0.6375702,Sam,1,,,,Sam,,
2026-02-19 11:37:09,4,2,1,1,0.17933126,0.79173046,Finn,6,Jed,21 James Fish,Finn,,,
2026-02-19 11:38:18,6,1,1,0,0.52127653,0.62378764,Sam,2,,,,01 Orlando Impas,,
2026-02-19 11:39:16,6,2,1,1,0.26899692,0.7876468,Sam,5,Aiden jacobs,21 James Fish,Aiden jacobs,,,
2026-02-19 11:40:39,7,1,0,0,0.29787236,0.8029607,04 Charlie Wagner,3,,,,04 Charlie Wagner,,
2026-02-19 11:41:13,7,2,0,1,0.9240122,0.75497705,04 Charlie Wagner,9,Aiden jacobs,04 Charlie Wagner,Levi,,,
2026-02-19 11:43:25,8,1,0,0,0.6945288,0.78917813,04 Charlie Wagner,2,,,,Elliot,,
2026-02-19 11:43:54,8,2,0,1,0.15501517,0.49004593,04 Charlie Wagner,1,,04 Charlie Wagner,Kahlil,,,
2026-02-19 11:44:59,10,1,1,0,0.5273556,0.6227667,Sam,9,,,,Sam,,
2026-02-19 11:45:47,10,2,1,1,0.36626136,0.30219498,21 James Fish,1,,21 James Fish,Jonas,,,
2026-02-19 11:46:55,12,1,1,0,0.32522792,0.6181725,Jonas,2,,,,Sam,,
2026-02-19 11:47:29,12,2,1,0,0.32522792,0.56202143,Sam,5,,,,,Jonas,
2026-02-19 11:48:35,12,3,1,1,0.41945288,0.5962226,Sam,3,Jonas,01 Orlando Impas,Jed,,,
2026-02-19 11:49:39,13,1,1,1,0.6413374,0.60643184,Sam,5,Sam,04 Charlie Wagner,21 James Fish,,,
2026-02-19 11:51:07,15,1,1,0,0.43465048,0.60234815,Jonas,3,,,,,21 James Fish,
2026-02-19 11:51:43,15,2,1,0,0.57638896,0.8687529,JHL  ,4,,,,01 Orlando Impas,,
2026-02-19 11:52:53,15,3,1,0,0.2294833,0.6431853,Sam,2,,,,21 James Fish,,
2026-02-19 11:53:21,15,4,1,1,0.1680556,0.42036432,Finn,6,Sam,01 Orlando Impas,JHL  ,,,
2026-02-19 11:54:52,17,1,1,1,0.6534955,0.618683,JHL  ,8,Finn,Jonas,Sam,,,
2026-02-19 11:56:33,19,1,1,0,0.39665657,0.61510974,01 Orlando Impas,6,,,,Sam,,
2026-02-19 11:57:29,19,2,1,1,0.24924012,0.37927514,Sam,1,,Sam,Jed,,,
2026-02-19 11:58:31,20,1,0,0,0.32218844,0.79887694,04 Charlie Wagner,2,,,,Aiden jacobs,,
2026-02-19 11:59:25,21,1,1,0,0.37537995,0.6059214,01 Orlando Impas,14,,,,,21 James Fish,
2026-02-19 12:00:59,21,2,1,1,0.24620065,0.4374681,01 Orlando Impas,2,01 Orlando Impas,Sam,Jed,,,
2026-02-19 12:01:45,22,1,0,0,0.23556231,0.7942828,04 Charlie Wagner,7,,,,04 Charlie Wagner,,
2026-02-19 12:02:26,22,2,0,0,0.54711246,0.57631445,Zach,5,,,,04 Charlie Wagner,,
2026-02-19 12:03:19,22,3,0,0,0.28419447,0.63399696,04 Charlie Wagner,4,,,,Levi,,
2026-02-19 12:03:42,22,4,0,1,0.48176292,0.6135783,Zach,7,Elliot,04 Charlie Wagner,Joe,,,
